,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition
66,67,Ti-10Mo-1Cu,Ti0.9394Cu0.008Mo0.0527,37,10.1016/j.bioactmat.2020.04.012,xu2020,0,0,0,,40.00,73.50,1.60,972.00,,1002.30,,8.20,0.10,,,10.01,meta,Ti-beta,Ti-alpha,Ti2Cu,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9394 Cu0.008 Mo0.0527
67,68,Ti-10Mo-3Cu,Ti0.9231Cu0.024Mo0.0529,37,10.1016/j.bioactmat.2020.04.012,xu2020,0,0,0,,40.00,71.10,0.90,1062.00,,1098.10,,5.20,0.20,,,9.99,near,Ti-beta,Ti-alpha,Ti2Cu,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9231 Cu0.024 Mo0.0529
68,69,Ti-10Mo-5Cu,Ti0.9066Cu0.0402Mo0.0532,37,10.1016/j.bioactmat.2020.04.012,xu2020,0,1,0,,40.00,74.90,1.50,1152.00,,1162.20,,1.97,0.20,,,10.00,near,Ti-beta,Ti-alpha,Ti2Cu,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9066 Cu0.0402 Mo0.0532
69,70,Ti-3Cu,Ti0.9772Cu0.0228,38,10.1016/j.jmst.2019.03.044,wang2019,0,0,0,,,,,535.00,6.00,633.00,,19.00,5.00,243.00,18.00,0.00,rich,Ti-alpha-p,Ti2Cu,,ST-AC,"Alloys annealed at 910 deg C for 1 h then AC. Based on the morphology presented in Fig. 2, the matrix is alpha-prime martensite (Fig. 1 can be misleading). Elastic modulus not reported.",Ti0.9772 Cu0.0228
70,71,Ti-5Cu,Ti0.9619Cu0.0381,38,10.1016/j.jmst.2019.03.044,wang2019,0,0,0,,,,,588.00,5.00,745.00,,8.30,0.70,272.00,29.00,0.00,rich,Ti-alpha-p,Ti2Cu,,ST-AC,"Alloys annealed at 910 deg C for 1 h then AC. Based on the morphology presented in Fig. 2, the matrix is alpha-prime martensite (Fig. 1 can be misleading). Elastic modulus not reported.",Ti0.9619 Cu0.0381
71,72,Ti-7Cu,Ti0.9463Cu0.0537,38,10.1016/j.jmst.2019.03.044,wang2019,0,0,0,,,,,711.00,7.00,877.00,,3.60,1.60,298.00,20.00,0.00,rich,Ti-alpha-p,Ti2Cu,,ST-AC,"Alloys annealed at 910 deg C for 1 h then AC. Based on the morphology presented in Fig. 2, the matrix is alpha-prime martensite (Fig. 1 can be misleading). Elastic modulus not reported.",Ti0.9463 Cu0.0537
72,73,Ti-30Zr-5Al-3V,Ti0.6933Al0.0992V0.0315Zr0.176,39,10.1016/j.msea.2017.03.027,li2017,0,1,0,,400.00,97.00,,1181.00,,1302.00,,4.28,,400.00,11.00,-2.99,other,Ti-alpha-p,Ti-beta,,ST-AC,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6.",Ti0.6933 Al0.0992 V0.0315 Zr0.176
73,74,Ti-30Zr-5Al-3V-0.5Fe,Ti0.6882Al0.0993V0.0315Fe0.0048Zr0.1762,39,10.1016/j.msea.2017.03.027,li2017,0,1,0,,400.00,92.00,,1299.00,,1420.00,,5.34,,439.00,13.00,-1.54,other,Ti-alpha-p,Ti-beta,,ST-AC,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6.",Ti0.6882 Al0.0993 V0.0315 Fe0.0048 Zr0.1762
74,75,Ti-30Zr-5Al-3V-1.0Fe,Ti0.6832Al0.0993V0.0316Fe0.0096Zr0.1763,39,10.1016/j.msea.2017.03.027,li2017,0,1,0,,400.00,100.00,,1421.00,,1533.00,,2.49,,475.00,11.00,-0.09,other,Ti-alpha-p,Ti-beta,,ST-AC,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6.",Ti0.6832 Al0.0993 V0.0316 Fe0.0096 Zr0.1763
75,76,Ti-30Zr-5Al-3V-1.5Fe,Ti0.6781Al0.0994V0.0316Fe0.0144Zr0.1764,39,10.1016/j.msea.2017.03.027,li2017,0,1,0,,350.00,96.00,,1553.00,,1667.00,,2.34,,488.00,11.00,1.36,rich,Ti-beta,Ti-alpha-p,,ST-AC,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6.",Ti0.6781 Al0.0994 V0.0316 Fe0.0144 Zr0.1764
76,77,Ti-30Zr-5Al-3V-2.0Fe,Ti0.6731Al0.0995V0.0316Fe0.0192Zr0.1766,39,10.1016/j.msea.2017.03.027,li2017,0,1,0,,300.00,103.00,,1399.00,,1538.00,,1.90,,484.00,13.00,2.80,rich,Ti-beta,Ti-alpha-p,,ST-AC,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6.",Ti0.6731 Al0.0995 V0.0316 Fe0.0192 Zr0.1766
77,78,Ti-30Zr-5Al-3V-2.5Fe,Ti0.668Al0.0996V0.0316Fe0.0241Zr0.1767,39,10.1016/j.msea.2017.03.027,li2017,0,1,0,,300.00,79.00,,1068.00,,1115.00,,2.00,,403.00,15.00,4.27,rich,Ti-beta,Ti-alpha-p,,ST-AC,"Ingots heated to 1000 deg C and hot rolled, AC to room temperature. Unable to distinct alpha from alpha-p (no composition analysis). Grain size estimated from Fig. 3. Number of samples not informed. Hardness extracted from Fig. 6.",Ti0.668 Al0.0996 V0.0316 Fe0.0241 Zr0.1767
78,79,Ti-25Nb-3Zr-3Mo-2Sn,Ti0.7999Zr0.0188Nb0.1538Mo0.0179Sn0.0096,40,10.1016/j.msea.2009.11.059,kent2010,0,0,1,,25.00,83.00,6.00,499.10,71.40,708.50,,0.70,,,,10.01,meta,Ti-beta,,,ST-AC,Elastic modulus (incipient) from 1% strain (Fig. 5a). Errors in composition not reported. Average grain size shown in Fig. 6a. Phase composition not detailed for the ST-WQ condition.,Ti0.7999 Zr0.0188 Nb0.1538 Mo0.0179 Sn0.0096
79,80,Ti-5Hf,Ti0.9863Hf0.0137,41,10.2320/matertrans.45.1549,zhou2004b,0,0,0,1030.00,,115.00,,369.00,,455.00,,25.60,,,,0.00,rich,Ti-alpha-p,,,ST-WQ,Composition variations and oxygen content based on Ti-10Hf errors (Table 2). Elastic modulus measured via resonant frequencies (Fig. 3). Phase analisys restricted to conventional XRD. Mechanical properties extracted from Fig. 5.,Ti0.9863 Hf0.0137
80,81,Ti-10Hf,Ti0.9716Hf0.0284,41,10.2320/matertrans.45.1549,zhou2004b,0,0,0,1030.00,,114.00,,406.00,,482.00,,21.20,,,,0.00,rich,Ti-alpha-p,,,ST-WQ,Composition variations and oxygen content based on Ti-10Hf errors (Table 2). Elastic modulus measured via resonant frequencies (Fig. 3). Phase analisys restricted to conventional XRD. Mechanical properties extracted from Fig. 5.,Ti0.9716 Hf0.0284
81,82,Ti-15Hf,Ti0.9557Hf0.0443,41,10.2320/matertrans.45.1549,zhou2004b,0,0,0,1030.00,,113.00,,439.00,,546.00,,19.60,,,,0.00,rich,Ti-alpha-p,,,ST-WQ,Composition variations and oxygen content based on Ti-10Hf errors (Table 2). Elastic modulus measured via resonant frequencies (Fig. 3). Phase analisys restricted to conventional XRD. Mechanical properties extracted from Fig. 5.,Ti0.9557 Hf0.0443
82,83,Ti-20Hf,Ti0.9384Hf0.0616,41,10.2320/matertrans.45.1549,zhou2004b,0,0,0,1030.00,,112.00,,530.00,,634.00,,12.10,,,,0.00,rich,Ti-alpha-p,,,ST-WQ,Composition variations and oxygen content based on Ti-10Hf errors (Table 2). Elastic modulus measured via resonant frequencies (Fig. 3). Phase analisys restricted to conventional XRD. Mechanical properties extracted from Fig. 5.,Ti0.9384 Hf0.0616
83,84,Ti-30Hf,Ti0.8991Hf0.1009,41,10.2320/matertrans.45.1549,zhou2004b,0,0,0,1030.00,,110.00,,551.00,,681.00,,9.10,,,,0.00,rich,Ti-alpha-p,,,ST-WQ,Composition variations and oxygen content based on Ti-10Hf errors (Table 2). Elastic modulus measured via resonant frequencies (Fig. 3). Phase analisys restricted to conventional XRD. Mechanical properties extracted from Fig. 5.,Ti0.8991 Hf0.1009
84,85,Ti-40Hf,Ti0.852Hf0.148,41,10.2320/matertrans.45.1549,zhou2004b,0,0,0,1030.00,,109.00,,964.00,,1106.00,,2.70,,,,0.00,rich,Ti-alpha-p,,,ST-WQ,Composition variations and oxygen content based on Ti-10Hf errors (Table 2). Elastic modulus measured via resonant frequencies (Fig. 3). Phase analisys restricted to conventional XRD. Mechanical properties extracted from Fig. 5.,Ti0.852 Hf0.148
85,86,Ti-25Zr-25Nb,Ti0.6586Fe0.001Zr0.1739Nb0.1664,42,10.1016/j.msea.2018.09.002,vajpai2018,0,0,0,1950.00,263.00,70.00,,480.00,,552.00,,54.00,,220.00,4.00,7.14,near,Ti-beta,,,ST-AC,Oxygen content assumed to be the average of two values reported in Table 1. Cooling condition not clear - assumed AC. Samples ST at 1273K for 1h. Young modulus not confirmed via experiments.,Ti0.6586 Fe0.001 Zr0.1739 Nb0.1664
86,87,Ti-8Fe,Ti0.9306Fe0.0694,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,129.00,,1560.00,,,,-11.00,,468.00,9.00,23.21,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.9306 Fe0.0694
87,88,Ti-8Fe-5Ta,Ti0.9141Fe0.072Ta0.0139,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,120.00,,1103.00,,,,-31.00,,389.00,5.00,24.29,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.9141 Fe0.072 Ta0.0139
88,89,Ti-8Fe-8Ta,Ti0.9035Fe0.0738Ta0.0228,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,106.00,,1050.00,,,,-31.50,,379.00,5.00,24.97,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.9035 Fe0.0738 Ta0.0228
89,90,Ti-9Fe-2Ta,Ti0.9152Fe0.0793Ta0.0054,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,110.00,2.00,1143.00,,,,-29.90,,390.00,5.00,26.53,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.9152 Fe0.0793 Ta0.0054
90,91,Ti-9Fe-5Ta,Ti0.9049Fe0.0812Ta0.0139,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,103.00,,1079.00,,,,-33.80,,370.00,5.00,27.21,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.9049 Fe0.0812 Ta0.0139
91,92,Ti-9Fe-9Ta,Ti0.8904Fe0.0838Ta0.0259,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,99.00,,1016.00,,,,-34.70,,351.00,5.00,28.09,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.8904 Fe0.0838 Ta0.0259
92,93,Ti-10Fe10Ta,Ti0.877Fe0.094Ta0.029,43,10.1016/j.matdes.2015.03.028,haghighi2015,0,0,0,,100.00,92.00,,1008.00,,,,-35.40,,343.00,5.00,31.21,stable,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible leviation casting. Average grain size estimated from Fig. 2. Modulus and hardness from Fig. 4. Plastic strength and yield stress approx. from Fig. 8. Mechanical assessment conducted under compression. Oxygen content not reported.,Ti0.877 Fe0.094 Ta0.029
93,94,Ti-7Mo-4Al-3V-3Cr,Ti0.8407Al0.0697V0.0284Cr0.0269Mo0.0342,44,10.1016/j.matdes.2017.02.043,sadeghpour2017,0,0,0,,148.00,,,829.00,12.00,884.00,,17.00,1.00,,,9.55,near,Ti-beta,,,ST-WQ,"ST at 910 deg C for 30 min, then water-quenched. Properties extracted from Fig. 9. Hardness and modulus not reported. TEM investigation not reported. ",Ti0.8407 Al0.0697 V0.0284 Cr0.0269 Mo0.0342
94,95,Ti-5Al-5Mo-5V-3Cr,Ti0.815Al0.0912V0.0437Cr0.0264Mo0.0237,44,10.1016/j.matdes.2017.02.043,sadeghpour2017,0,0,0,,135.00,,,804.00,11.00,836.00,,12.00,1.00,,,7.39,near,Ti-beta,,,ST-WQ,"ST at 910 deg C for 30 min, then water-quenched. Properties extracted from Fig. 9. Hardness and modulus not reported. TEM investigation not reported. ",Ti0.815 Al0.0912 V0.0437 Cr0.0264 Mo0.0237
95,96,Ti-7V-5Mo-3Al-3Cr,Ti0.827Al0.0537V0.0663Cr0.0279Mo0.0252,45,10.1016/j.scriptamat.2017.10.017,sadeghpour2018,0,1,0,,64.00,,,750.00,,1100.00,,19.00,,,,11.50,meta,Ti-beta,Ti-omega,,ST-WQ,"ST at 900 deg C for 5 min, then WQ. Average grain size from page 2. ",Ti0.827 Al0.0537 V0.0663 Cr0.0279 Mo0.0252
96,97,TiZr-5Al,Ti0.5843Al0.1091Zr0.3066,46,10.1016/j.jallcom.2015.12.199,liang2016,0,1,0,,107.00,100.00,5.00,1710.00,140.00,1665.00,,0.82,0.07,,,-5.00,other,Ti-alpha-p,,,ST-WQ,WQ just after hot-rolling (850 deg C). Grain size assumed to be an average of parent (200 um) and dynamic rycrystallizatiion grains (15 um),Ti0.5843 Al0.1091 Zr0.3066
97,98,TiZr-5Al-1V,Ti0.5769Al0.1089V0.0115Zr0.3027,46,10.1016/j.jallcom.2015.12.199,liang2016,0,1,0,,107.00,72.00,3.00,740.00,70.00,1255.00,,5.75,0.45,,,-4.33,other,Ti-alpha-p,Ti-alpha-dp,Ti-beta,ST-WQ,WQ just after hot-rolling (850 deg C). Grain size assumed to be an average of parent (200 um) and dynamic rycrystallizatiion grains (15 um),Ti0.5769 Al0.1089 V0.0115 Zr0.3027
98,99,TiZr-5Al-3V,Ti0.5622Al0.1084V0.0345Zr0.295,46,10.1016/j.jallcom.2015.12.199,liang2016,0,1,0,,107.00,68.00,3.00,690.00,70.00,1355.00,,12.40,1.40,,,-2.99,other,Ti-alpha-dp,Ti-beta,,ST-WQ,WQ just after hot-rolling (850 deg C). Grain size assumed to be an average of parent (200 um) and dynamic rycrystallizatiion grains (15 um),Ti0.5622 Al0.1084 V0.0345 Zr0.295
99,100,TiZr-5Al-5V,Ti0.5476Al0.1079V0.0572Zr0.2873,46,10.1016/j.jallcom.2015.12.199,liang2016,0,1,0,,107.00,73.00,4.00,955.00,95.00,1055.00,,8.95,0.85,,,-1.65,other,Ti-beta,Ti-alpha-dp,,ST-WQ,WQ just after hot-rolling (850 deg C). Grain size assumed to be an average of parent (200 um) and dynamic rycrystallizatiion grains (15 um),Ti0.5476 Al0.1079 V0.0572 Zr0.2873
100,101,TiZr-5Al-7V,Ti0.5331Al0.1075V0.0797Zr0.2797,46,10.1016/j.jallcom.2015.12.199,liang2016,0,1,0,,107.00,81.00,4.00,1065.00,95.00,1185.00,,9.35,0.85,,,-0.31,other,Ti-beta,,,ST-WQ,WQ just after hot-rolling (850 deg C). Grain size assumed to be an average of parent (200 um) and dynamic rycrystallizatiion grains (15 um),Ti0.5331 Al0.1075 V0.0797 Zr0.2797
101,102,Ti-38Nb-0.13O,Ti0.76Nb0.24,47,10.2320/matertrans.M2018021,li2018,1,0,1,1300.00,200.00,56.00,1.50,203.00,10.00,481.00,,36.00,1.50,,,10.64,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Average grain size ~ 200 um (Fig. 2). Hardness not reported. Mechanical properties taken from Fig. 3,Ti0.76 Nb0.24
102,103,Ti-38Nb-0.24O,Ti0.76Nb0.24,47,10.2320/matertrans.M2018021,li2018,1,0,1,2400.00,200.00,58.00,1.80,301.00,25.00,578.00,,37.70,0.50,,,10.64,meta,Ti-beta,,,ST-WQ,Average grain size ~ 200 um (Fig. 2). Hardness not reported. Mechanical properties taken from Fig. 3,Ti0.76 Nb0.24
103,104,Ti-38Nb-0.46O,Ti0.76Nb0.24,47,10.2320/matertrans.M2018021,li2018,1,0,1,4600.00,200.00,62.00,2.00,575.00,5.00,780.00,,25.00,2.50,,,10.64,meta,Ti-beta,,,ST-WQ,Average grain size ~ 200 um (Fig. 2). Hardness not reported. Mechanical properties taken from Fig. 3,Ti0.76 Nb0.24
104,105,Ti-12Mo-5Zr,Ti0.906Zr0.0286Mo0.0654,48,10.1016/j.jallcom.2011.05.090,zhao2011,1,0,0,800.00,90.00,64.50,0.30,509.00,16.00,628.00,32.00,4.70,0.30,442.00,8.00,12.01,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,Annealed at 1133K for 1h followed by a rapid water quenching. Errors in composition not reported. Grain size informed in the text could be misleading (see Fig. 1).,Ti0.906 Zr0.0286 Mo0.0654
105,106,Ti-25Ta-25Nb,Ti0.7195Nb0.1853Ta0.0952,49,10.1016/j.jmbbm.2010.06.007,bertrand2010,0,0,1,,30.00,55.00,,200.00,,530.00,,20.00,,145.00,,12.50,meta,Ti-beta,,,ST-WQ,"All samples were solution treated at 850 deg C for 0.5 h and water quenched. Alloy exhibits superelasticity, with a stress plateau at 200 MPa. Grain size estimated based on Fig. 2",Ti0.7195 Nb0.1853 Ta0.0952
106,107,Pure Ti,Ti1,49,10.1016/j.jmbbm.2010.06.007,bertrand2010,0,0,1,,20.00,105.00,,200.00,,360.00,,27.00,,134.00,,0.00,rich,Ti-alpha,,,ST-AC,Grain size estimated based on Fig. 2. Processing condition not especified (assumed AC),Ti1
107,108,Ti-15Nb-0.15O,Ti0.9167Nb0.0833,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,1500.00,,96.00,5.00,558.00,51.00,,,-50.00,,211.00,8.00,4.20,rich,Ti-alpha,Ti-beta,,ST-FC,"Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1). Sample did not fracture, assumed deformation of -50%.",Ti0.9167 Nb0.0833
108,109,Ti-15Nb-0.25O,Ti0.9167Nb0.0833,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,2500.00,,103.00,4.00,744.00,26.00,,,-33.00,3.00,245.00,5.00,4.20,rich,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.9167 Nb0.0833
109,110,Ti-15Nb-0.40O,Ti0.9167Nb0.0833,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,4000.00,,102.00,1.00,962.00,22.00,,,-30.00,3.00,265.00,7.00,4.20,rich,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.9167 Nb0.0833
110,111,Ti-17.5Nb-0.15O,Ti0.9015Nb0.0985,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,1500.00,,89.00,2.00,628.00,9.00,,,-50.00,,220.00,6.00,4.90,rich,Ti-alpha,Ti-beta,,ST-FC,"Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1). Sample did not fracture, assumed deformation of -50%.",Ti0.9015 Nb0.0985
111,112,Ti-17.5Nb-0.25O,Ti0.9015Nb0.0985,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,2500.00,,91.00,5.00,822.00,25.00,,,-27.00,5.00,252.00,9.00,4.90,rich,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.9015 Nb0.0985
112,113,Ti-17.5Nb-0.40O,Ti0.9015Nb0.0985,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,4000.00,,92.00,3.00,893.00,15.00,,,-20.00,5.00,275.00,2.00,4.90,rich,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.9015 Nb0.0985
113,114,Ti-20.0Nb-0.15O,Ti0.8859Nb0.1141,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,1500.00,,89.00,1.00,655.00,40.00,,,-36.00,9.00,239.00,2.00,5.60,near,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.8859 Nb0.1141
114,115,Ti-20.0Nb-0.25O,Ti0.8859Nb0.1141,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,2500.00,,87.00,2.00,818.00,51.00,,,-31.00,4.00,273.00,3.00,5.60,near,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.8859 Nb0.1141
115,116,Ti-20.0Nb-0.40O,Ti0.8859Nb0.1141,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,4000.00,,94.00,2.00,906.00,25.00,,,-25.00,2.00,291.00,1.00,5.60,near,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.8859 Nb0.1141
116,117,Ti-22.5Nb-0.15O,Ti0.8699Nb0.1301,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,1500.00,,89.00,4.00,734.00,35.00,,,-25.00,7.00,262.00,4.00,6.30,near,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.8699 Nb0.1301
117,118,Ti-22.5Nb-0.25O,Ti0.8699Nb0.1301,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,2500.00,,99.00,6.00,854.00,23.00,,,-26.00,1.00,290.00,4.00,6.30,near,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.8699 Nb0.1301
118,119,Ti-22.5Nb-0.40O,Ti0.8699Nb0.1301,50,10.1016/j.msea.2021.141750,santos2021,1,0,0,4000.00,,100.00,1.00,930.00,25.00,,,-28.00,3.00,303.00,4.00,6.30,near,Ti-alpha,Ti-beta,,ST-FC,Errors in composition not reported. Number of samples/specimens not reported. Mechanical strength via compression tests (Table 1).,Ti0.8699 Nb0.1301
119,120,cp Ti grade 1,Ti0.9983Fe0.0017,51,10.1520/F0067-13R17,astmF0067,1,0,0,1800.00,,102.00,,170.00,,,,25.00,,,,0.58,rich,Ti-alpha,,,ST,Ingot metallurgy route. Processing and cooling conditions unknown. Compilation by 10.3390/prosthesis2020011,Ti0.9983 Fe0.0017
120,121,cp Ti grade 2,Ti0.9983Fe0.0017,51,10.1520/F0067-13R17,astmF0067,1,0,0,2500.00,,102.00,,275.00,,,,20.00,,,,0.58,rich,Ti-alpha,,,ST,Ingot metallurgy route. Processing and cooling conditions unknown. Compilation by 10.3390/prosthesis2020011,Ti0.9983 Fe0.0017
121,122,cp Ti grade 3,Ti0.9983Fe0.0017,51,10.1520/F0067-13R17,astmF0067,1,0,0,3500.00,,102.00,,380.00,,,,18.00,,,,0.58,rich,Ti-alpha,,,ST,Ingot metallurgy route. Processing and cooling conditions unknown. Compilation by 10.3390/prosthesis2020011,Ti0.9983 Fe0.0017
122,123,cp Ti grade 4,Ti0.9974Fe0.0026,51,10.1520/F0067-13R17,astmF0067,1,0,0,4000.00,,104.00,,483.00,,,,15.00,,,,0.88,rich,Ti-alpha,,,ST,Ingot metallurgy route. Processing and cooling conditions unknown. Compilation by 10.3390/prosthesis2020011,Ti0.9974 Fe0.0026
123,124,Ti-7Fe,Ti0.9394Fe0.0606,52,10.1016/j.msec.2015.11.072,haghighi2016,0,0,0,,150.00,130.00,,1847.00,,,,-8.00,,560.00,8.00,20.30,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible levitation melting (CCLM). Mechanical tests in compression. Vickers hardness from Fig. 8; errors estimated from Fig. 8. Average grain size rougly estimated from Fig. 2.,Ti0.9394 Fe0.0606
124,125,Ti-7Fe-1Nb,Ti0.9339Fe0.0609Nb0.0052,52,10.1016/j.msec.2015.11.072,haghighi2016,0,0,0,,150.00,124.00,,1785.00,,,,-10.00,,525.00,8.00,20.58,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible levitation melting (CCLM). Mechanical tests in compression. Vickers hardness from Fig. 8; errors estimated from Fig. 8. Average grain size rougly estimated from Fig. 2.,Ti0.9339 Fe0.0609 Nb0.0052
125,126,Ti-7Fe-4Nb,Ti0.917Fe0.0618Nb0.0212,52,10.1016/j.msec.2015.11.072,haghighi2016,0,0,0,,150.00,115.00,,1539.00,,,,-24.30,,421.00,8.00,21.41,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible levitation melting (CCLM). Mechanical tests in compression. Vickers hardness from Fig. 8; errors estimated from Fig. 8. Average grain size rougly estimated from Fig. 2.,Ti0.917 Fe0.0618 Nb0.0212
126,127,Ti-7Fe-6Nb,Ti0.9054Fe0.0624Nb0.0322,52,10.1016/j.msec.2015.11.072,haghighi2016,0,0,0,,150.00,97.00,,1144.00,,,,-23.10,,372.00,8.00,21.97,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible levitation melting (CCLM). Mechanical tests in compression. Vickers hardness from Fig. 8; errors estimated from Fig. 8. Average grain size rougly estimated from Fig. 2.,Ti0.9054 Fe0.0624 Nb0.0322
127,128,Ti-7Fe-9Nb,Ti0.8876Fe0.0634Nb0.049,52,10.1016/j.msec.2015.11.072,haghighi2016,0,0,0,,150.00,89.00,,1010.00,,,,-40.50,,335.00,8.00,22.82,meta,Ti-beta,Ti-alpha-dp,,As-cast,Cold crucible levitation melting (CCLM). Mechanical tests in compression. Vickers hardness from Fig. 8; errors estimated from Fig. 8. Average grain size rougly estimated from Fig. 2.,Ti0.8876 Fe0.0634 Nb0.049
